Mercedes-Benz E-Class Sedan,11
Toyota Matrix,13
Audi A5 Cabriolet,3
Lexus RX,2
Bentley Continental Supersports,1
Dodge Durango,22
Dodge Nitro,18
Cadillac Escalade Hybrid,10
Audi A5,2
Hyundai Santa Fe,27
Suzuki Equator,15
Hyundai Veloster,1
Ford Edge,25
Bentley Continental Flying Spur,5
GMC Terrain,36
Volkswagen Routan,12
Bentley Continental GTC,3
Ford Transit Connect Van,2
Aston Martin Rapide,5
Aston Martin DBS Volante,6
BMW M3 Coup,2
BMW 3 Series Coup,29
Ford Focus Sedan,17
BMW 7 Series,17
Ford Fusion,29
Honda CR-Z,4
Volkswagen Touareg Hybrid,1
Chevrolet Silverado 1500 Hybrid,12
Ford Explorer,26
Chevrolet Suburban Half-Ton,6
Cadillac CTS-V Wagon,4
Hyundai Accent Hatchback,14
Acura TL,8
Volvo XC70,15
Acura RDX,4
Kia Sportage,21
Toyota Corolla,13
Subaru Impreza Hatchback,19
Hyundai Genesis Coupe,28
Saab 9-3 Sport Sedan,20
GMC Acadia,28
Chevrolet Camaro Coupe,31
Ford Mustang Shelby GT500 Coupe,2
Audi R8 Spyder,4
Mitsubishi Lancer Sportback,3
Chrysler Town and Country,9
Ford Focus Coupe,4
Lincoln MKT,8
BMW 3 Series Convertible,17
Lincoln Navigator,10
Subaru Impreza WRX Hatchback,9
Jeep Grand Cherokee,48
Subaru Outback,14
Volvo C30,20
Jaguar XJ,18
Mazda Mazda3 5-Door,13
Ford Escape,32
Saab 9-5 Sedan,7
Rolls-Royce Phantom Sedan,4
Volvo V70,1
Jaguar XK Coup,8
GMC Sierra 1500,124
Audi R8 Coupe,6
Chevrolet Sonic Hatchback,8
Land Rover LR2,4
Audi A6 Sedan,5
Nissan Xterra,23
Buick Enclave,20
Buick Lucerne,13
Honda Civic Coupe,8
Chevrolet Malibu,19
Jeep Compass,12
Dodge Avenger,11
Rolls-Royce Phantom Drophead Coupe,2
Honda CR-V,14
Hyundai Sonata Hybrid,1
Scion xD,6
Dodge Grand Caravan,15
Hyundai Veracruz,13
BMW 6 Series Coup,1
Kia Rio5,6
Mercury Grand Marquis,2
Ford Mustang Convertible,24
Nissan Pathfinder,33
Mercedes-Benz SLK-Class,7
Audi A7,1
Ford Taurus,15
Suzuki Grand Vitara,15
Lamborghini Gallardo Spyder,1
Mercedes-Benz GL-Class,6
Chevrolet Corvette Grand Sport Coupe,24
Lotus Exige,5
Toyota Tundra,66
Mercedes-Benz E-Class Cabriolet,2
Lamborghini Gallardo Coupe,3
Dodge Viper Convertible,1
Bentley Azure T,1
BMW 6 Series Convertible,1
Transit Connect Wagon,4
Volkswagen Golf 2-Door,9
Cadillac Escalade ESV,24
Chrysler Sebring Sedan,3
MINI Cooper Coupe,5
BMW 5 Series Sedan,29
BMW 5 Series Sports Wagon,2
Aston Martin V8 Vantage Roadster,5
Lotus Elise,5
Toyota Avalon,5
Lexus ES,3
Chevrolet Suburban,3
BMW 1 Series Coup,4
Ford Mustang Coup,25
Lexus LS,12
Chevrolet Silverado 1500,116
Audi S5 Coupe,6
Ford F-150,185
Kia Optima,16
Honda Ridgeline,6
Jeep Commander,6
Porsche Cayenne,12
Mazda Tribute,18
Porsche 911 Cabriolet,12
Volvo XC60,21
Infiniti G37 Sedan,10
Lotus Evora,1
Honda Odyssey,14
Nissan Versa Hatchback,6
Toyota Camry,26
Audi A5 Coupe,7
BMW 5 Series Gran Turismo,7
Mazda RX-8,10
Mazda Mazdaspeed3,3
Ferrari 612 Scaglietti,1
Cadillac Escalade EXT,6
Aston Martin DB9 Volante,7
Mercedes-Benz CL-Class,8
Volkswagen Touareg,8
Ford E-250 Van,16
Ford E-150 Wagon,10
Suzuki SX4 Crossover,2
Audi S6,2
Mercury Milan,10
BMW 1 Series Convertible,10
Dodge Viper Coup,1
Chevrolet Suburban Three-Quarter-Ton,4
Cadillac CTS Sport Wagon,28
Mercedes-Benz G-Class,4
GMC Sierra 1500 Hybrid,8
Land Rover Range Rover Sport,10
Land Rover Range Rover Evoque,5
Cadillac CTS Coupe,14
Toyota Yaris 3-Door Liftback,7
Chevrolet Corvette ZR1,6
MINI Countryman,12
Ford Transit Connect Wagon,2
Cadillac STS,13
Infiniti G37 Coupe,12
Chevrolet HHR Wagon,14
Kia Optima Hybrid,1
Rolls-Royce Phantom Coupe,2
Bentley Continental Supersports Convertible,2
Volkswagen Jetta,38
Infiniti G25,6
Volvo V50,5
Lincoln Town Car,4
Mitsubishi Lancer,6
Aston Martin V12 Vantage,4
Ford Focus 5-Door,4
model,1
Ford E-350 Super Duty Wagon,16
Volkswagen Golf R 4-Door,1
Scion tC,10
Dodge Journey,19
GMC Yukon XL,27
Chrysler 200 Sedan,4
Transit Connect Van,4
Infiniti M,13
Infiniti EX,16
Mazda Mazda5,8
Ford Flex,26
Scion xB,10
Saab 9-3 Convertible,14
Maserati Quattroporte,6
Kia Sedona,7
Hyundai Accent Sedan,6
Mazda MX-5 Miata,28
Jeep Liberty,25
Kia Forte 5-Door,6
Chevrolet Colorado,115
Chevrolet Corvette Convertible,24
Nissan JUKE,2
Ford Crown Victoria,1
Audi A4 Sedan,9
Mercedes-Benz M-Class,8
Nissan Titan,70
Mercedes-Benz E-Class Wagon,1
Subaru Legacy,19
Toyota Sequoia,29
BMW M3 Convertible,2
Chevrolet Sonic Sedan,6
Lincoln MKZ Sedan,4
Aston Martin Virage Coup,2
Ford E-150 Van,12
Ford Fiesta Sedan,6
Lexus IS,14
Chevrolet Impala,9
Lexus IS F,2
Volvo XC90,18
Audi A6 Avant,2
Cadillac CTS Sport Sedan,36
Land Rover LR4,7
Honda Accord Sedan,28
Infiniti G37 Convertible,8
Saab 9-3 SportCombi,13
Mitsubishi Lancer Evolution,2
Mitsubishi Outlander,6
GMC Yukon,16
Buick Lacrosse,22
Ford Mustang Shelby GT500 Convertible,3
Volkswagen Beetle,3
Lexus GS,6
Chevrolet Tahoe,12
Honda Accord Coupe,15
Toyota Tacoma,38
Audi TT RS,1
Mazda CX-7,13
Mitsubishi Galant,6
Porsche Cayman,5
Chevrolet Cruze,16
Audi A3,8
Acura MDX,3
BMW M6 Convertible,1
Subaru Impreza Sedan,13
Toyota Yaris 5-Door Liftback,8
Honda Element,11
Subaru Impreza WRX Sedan,8
Nissan 370Z Coupe,20
Honda Civic Coup,17
Audi Q5,6
Maybach Landaulet,3
Audi S4 Sedan,3
Toyota Land Cruiser,2
Nissan Armada,36
Chevrolet Malibu Hybrid,1
Mercedes-Benz E-Class Coupe,4
Infiniti M Hybrid,1
Bentley Continental GT,3
Mitsubishi Outlander Sport,1
Mazda CX-9,18
Porsche 911 Coupe,16
Toyota FJ Cruiser,9
Volkswagen Passat,6
Nissan Altima Coupe,7
GMC Savana,41
Lamborghini Gallardo Coup,1
Volkswagen GTI 4-Door,4
Honda Accord Coup,7
Mercury Mariner,16
lexus IS F,1
Acura TSX,10
Mercedes-Benz C-Class,20
Volkswagen Tiguan,15
Kia Sorento,22
Mitsubishi Eclipse Spyder,7
Cadillac SRX Crossover,7
Lincoln MKS,9
MINI Cooper Hardtop,15
Lexus LX,2
Chrysler 300,14
Chevrolet Express,21
Ford Expedition,52
Saab 9-4X,5
Maserati GranTurismo Convertible,2
Volvo S80,6
Acura RL,3
Bentley Continental Supersports Coupe,1
Lincoln MKX,6
Suzuki Kizashi,7
Toyota 4Runner,16
Toyota Yaris Sedan,4
MINI Cooper Convertible,15
Mazda Mazda2,8
Cadillac CTS-V Coupe,4
Kia Soul,17
Chevrolet Aveo,5
Volkswagen GTI 2-Door,4
Honda Pilot,20
Hyundai Elantra Touring,14
Hyundai Tucson,29
Cadillac SRX,16
Jeep Wrangler,52
Chevrolet Tahoe Hybrid,4
Chevrolet Avalanche,12
Cadillac DTS,8
